SNS1_1,SNS1_2,SNS1_3,SNS1_4,SNS1_5,SNS1_6,SNS1_7,SNS1_8,POST1A,POST1B,POST1C,POST1D,POST1E,POST2_1,POST2_2,POST2_3,POST2_4,POST2_5,POST2_6,POST2_7,POST2_8,SOC2POSA,SOC2POSB,SOC2POSC,SOC2POSD,SOC2NEGA,SOC2NEGB,SOC2NEGC,SOC2NEGD,AGE,DURATION
1,0,0,1,1,0,0,0,2,4,1,3,4,1,0,1,0,1,0,0,0,2,1,2,1,3,3,3,3,17,16.25
1,1,1,1,1,0,0,0,2,4,4,2,4,0,0,0,0,0,0,0,1,2,1,1,3,3,2,3,3,13,14.43333333
1,1,1,1,0,0,0,0,3,4,4,2,4,1,0,1,0,0,0,0,0,3,3,3,3,3,3,3,3,16,7.716666667
0,1,0,1,0,1,0,0,1,3,1,2,2,1,0,0,0,0,0,1,0,2,2,2,2,3,2,3,1,15,11.28333333
0,0,1,1,1,0,0,0,2,3,2,2,2,1,0,1,1,0,1,1,0,2,1,2,2,3,2,3,2,13,17.7
0,1,1,0,1,0,0,0,3,2,3,1,2,0,0,0,0,0,0,0,1,3,3,98,3,3,3,3,3,14,8.25
1,1,0,1,1,0,0,0,3,2,3,4,3,1,0,1,0,0,0,0,0,3,1,1,1,3,3,3,3,15,22.13333333
1,1,1,1,1,0,0,0,3,3,3,3,3,1,0,1,0,0,0,1,0,3,3,3,3,3,3,3,3,13,7.75
0,0,0,0,1,0,1,0,4,2,4,4,4,0,0,0,0,0,0,0,1,3,3,2,2,3,3,3,3,14,14.86666667
0,0,0,0,1,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,1,3,3,3,2,3,2,3,3,13,10.2
1,1,1,1,1,0,0,0,3,2,4,1,1,0,0,0,0,0,0,0,1,3,2,2,2,3,1,3,3,14,12.55
1,1,1,1,1,0,0,0,2,3,3,2,2,0,0,0,0,0,0,0,1,2,2,2,2,3,2,3,3,17,21.58333333
0,1,1,1,1,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,14,8.35
1,0,0,0,1,0,0,0,3,4,3,4,4,1,0,0,0,0,0,1,0,3,1,2,3,3,2,3,3,16,24.78333333
0,0,1,0,0,0,0,0,2,2,2,2,4,0,0,0,0,1,0,1,0,3,2,1,3,3,3,2,3,14,7.716666667
1,1,1,1,1,0,0,0,4,2,2,3,3,1,1,1,0,0,0,0,0,1,2,1,2,3,2,2,2,15,10.85
1,1,1,1,1,1,1,0,1,1,2,2,2,1,1,0,0,1,0,1,0,2,1,2,1,3,3,3,2,16,10.41666667
0,1,1,1,1,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,17,6.633333333
0,1,0,1,1,0,0,0,2,3,2,3,4,1,0,0,0,0,0,0,0,2,2,2,2,3,3,2,1,13,12.21666667
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,3,15,6.233333333
0,1,1,1,1,0,0,0,1,3,2,1,2,1,0,0,0,0,0,1,0,2,2,1,2,2,1,1,2,16,46.48333333
0,1,0,1,1,0,0,0,4,2,1,2,4,1,1,0,0,0,0,0,0,1,2,1,1,2,1,2,2,16,5.183333333
0,1,1,1,1,0,0,0,2,2,4,3,4,1,0,0,0,0,0,0,0,2,2,2,2,3,2,3,3,17,19.85
0,1,1,1,1,0,0,0,3,3,3,2,1,0,0,1,0,0,0,1,0,2,1,1,2,3,3,3,3,13,7.35
0,1,0,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,1,3,3,1,3,2,3,3,3,16,28.58333333
1,1,1,1,1,0,0,0,2,3,1,4,4,1,1,0,0,1,0,1,0,1,1,1,1,3,2,2,2,16,19.68333333
1,0,0,0,1,0,0,0,4,3,4,2,4,1,0,1,0,0,0,0,0,2,3,2,3,3,2,3,3,14,44.5
0,1,1,1,1,0,0,0,4,4,4,3,3,1,0,0,0,0,0,0,0,2,2,2,2,3,2,3,3,16,20.83333333
0,1,0,1,1,0,1,0,3,3,3,2,3,1,0,1,1,0,0,0,0,3,2,3,2,2,2,2,2,16,9.9
0,1,0,0,1,0,1,0,4,3,4,4,3,0,0,0,0,0,1,0,0,3,2,2,3,2,1,3,3,16,23.01666667
1,1,1,1,1,0,0,0,4,2,4,2,3,1,1,1,0,0,0,0,0,2,2,2,1,3,3,3,3,17,9.866666667
0,1,0,1,1,0,0,0,3,2,2,4,1,0,0,0,0,0,0,0,1,2,2,1,2,2,3,3,2,14,9.116666667
1,1,1,1,1,0,0,0,1,4,1,2,3,1,1,1,1,1,1,1,0,1,2,1,2,2,3,3,3,15,15.33333333
1,1,1,1,1,0,0,0,3,3,3,2,4,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,2,14,10.16666667
1,1,1,1,1,0,0,0,3,3,2,1,2,1,1,0,1,0,0,1,0,3,2,1,1,3,2,1,1,17,18.46666667
0,1,0,1,1,0,0,0,2,3,2,3,4,0,0,0,0,0,0,0,1,1,3,1,3,3,2,2,3,14,18.58333333
0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , ,13,7.483333333
0,1,1,1,1,0,0,0,3,3,4,4,4,1,0,1,0,0,0,1,0,1,2,2,1,3,3,3,3,14,9.183333333
1,1,0,1,1,0,1,0,3,2,3,3,2,1,0,0,1,0,0,1,0,2,1,2,2,3,3,3,2,16,24.91666667
0,1,0,0,0,0,0,0,4,3,2,3,3,1,1,1,0,0,0,0,0,1,1,1,1,3,3,3,3,14,11.9
1,1,1,1,1,0,0,0,3,2,4,1,2,1,1,0,0,0,0,0,0,2,3,2,3,3,3,3,3,16,13.45
1,1,1,0,1,1,1,0,2,3,3,2,2,1,0,0,1,0,0,1,0,2,1,2,1,3,3,2,3,17,13.46666667
0,0,0,0,1,0,0,0,4,3,4,4,4,0,0,0,0,0,0,0,1,3,3,3,3,2,2,3,2,16,26.55
0,0,1,0,1,0,1,0,4,2,2,2,3,0,0,0,0,0,0,0,1,2,3,2,2,3,2,3,3,16,13.31666667
1,1,1,1,1,0,0,0,2,4,2,2,4,1,1,1,0,1,0,1,0,2,3,2,2,3,1,2,1,17,17.83333333
0,1,1,1,1,0,0,0,1,3,3,2,3,1,1,1,0,0,1,1,0,3,2,3,2,2,2,1,1,16,18.86666667
0,0,1,1,1,0,0,0,4,3,2,4,3,1,1,1,0,0,0,0,0,2,3,2,3,3,3,3,3,13,22.4
0,1,0,1,1,0,0,0,3,4,3,3,4,0,0,0,0,0,0,1,0,2,2,3,2,1,2,3,1,16,9.05
0,0,0,0,1,0,0,0,3,1,4,4,1,0,0,0,0,0,0,0,1,3,1,3,3,2,2,1,1,14,16.16666667
1,0,1,0,1,0,1,0,3,3,3,2,4,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,15,10.93333333
0,0,0,1,1,0,0,0,3,2,2,1,2,1,0,0,0,0,0,1,0,2,1,1,2,1,1,2,1,13,13.75
1,1,1,1,1,0,0,0,3,2,2,2,2,0,0,1,0,0,0,0,0,1,1,1,1,3,3,3,3,13,9.966666667
1,1,0,0,1,0,0,0,4,4,4,3,3,0,0,0,0,0,0,0,1,3,2,2,3,3,3,3,3,15,15.2
0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , ,13,7.433333333
